Name,Description,MainProfile,SecondaryProfile,Skills,Talents,Entries,Exits
Outrider,"Outriders are experienced outdoorsmen who reconnoitre for armies, caravans, and other travelling parties. They are the eyes and ears, constantly on the lookout for ambushes and other hazards. Because they operate in advance of the main party, they must be self-sufficient and level-headed. Outriders must trust their instincts and make their own decisions, because they have no one else to turn to when they are alone in the wild. Most Outriders operate in home area and use their intimate knowledge of the locale to their advantage. A few specialize in trailblazing, riding ahead into unknown and hostile territory. These Outriders earn more money for their services, but their life expectancy is short.","5,10,0,0,10,10,5,0","0,2,0,0,0,0,0,0","Animal Care, Follow Trail, Navigation, Outdoor Survival, Perception, Ride, Search, Silent Move","Coolheaded or Very Strong, Orientation, Specialist Weapon Group (Entangling","Kithband Warrior, Messenger, Roadwarden, Soldier","Coachman, Highwayman, Mercenary, Roadwarden, Scout"
Peasant,"The peasantry makes up the preponderance of the Empire’s population. While the Nobles rule and the Burghers trade, the Peasants toil. They are farmers, labourers, and herdsman. In times of war, they fight and die for the Empire. Many Peasants seek a better life in the city, only to join the legion of beggars on the verge of starvation. The majority spends their whole lives in the village they were born in, surrounded by hostile country and only occasionally getting news of the outside world. While they are provincial and superstitious, the Peasants are the heart of the Empire.","5,5,5,10,5,0,5,0","0,2,0,0,0,0,0,0","Animal Care or Charm, Animal Training or Swim, Charm Animal or Trade (Cook), Concealment, Drive or Trade (Bowyer), Gamble or Performer (Dancer or Singer), Outdoor Survival or Trade (Farmer), Row or Set Trap, Scale Sheer Surface or Silent Move","Hardy or Rover, Flee! or Specialist Weapon Group (Sling)",,"Bone Picker, Charcoal-Burner, Fisherman, Militiaman, Outlaw, Politician, Servant, Tradesman, Zealot"
Pit Fighter,"It is said that the sport of pit fighting has its origins amongst the Ogres. It is easy enough to believe that a race as dim-witted as the Ogres would contribute fights to the death to the culture of the Old World. In years past most Pit Fighters were criminals or prisoners of war. They’d be thrown in a ring or a pit with a few weapons and only the winner would leave alive. These days there is a class of professional Pit Fighters in addition to the condemned. They seek excitement and glory in the pit, though most fight naught but a brutal death as the crowd howls for their blood. Successful Pit Fighters can become wealthy (from prize money and the rampant gambling that surrounds the sport), allowing slave fighters to buy their freedom.","15,0,0,10,10,0,10,0","0,2,0,0,0,0,0,0","Dodge Blow, Intimidate","Disarm or Wrestling, Quick Draw or Strike to Injure, Specialist Weapon Group (Flail), Specialist Weapon Group (Parrying), Specialist Weapon Group (Two-handed), Strike Mighty Blow, Very Strong or Strong-minded","Norse Berserker, Protagonist, Shieldbreaker, Thug","Bounty Hunter, Mercenary, Protagonist, Troll Slayer, Veteran"
Protagonist,"Protagonists are professional bullies. Their fighting skills are for hire and they will beat up just about anyone for the right price. In many cases, Protagonists hide the fact that they are hired help, making up ridiculous excuses to start a brawl with the chosen target. The moneyman watches the humiliation of his foe, for enjoyment or profit of both. Roughing up a few locals is comparatively cheap, while more formidable opponents and more grievous injuries are proportionally more expensive. Most leave outright murder to the Assassins, but exceptions to this rule can be purchased. Jobless Protagonists simply pick their own fights and rob their victims. Needless to say, Watchmen keep a close eye on known Protagonists, so they tend to move quickly from place to place. ","10,0,10,0,10,0,10,0","1,2,0,0,0,0,0,0","Dodge Blow, Gossip or Haggle, Intimidate, Ride","Disarm or Quick Draw, Menacing or Suave, Street Fighting, Strike Mighty Blow, Strike to Injure, Strike to Stun","Bailiff, Bodyguard, Bounty Hunter, Estalian Diestro, Pit Fighter","Duellist, Pit Fighter, Racketeer, Thief, Thug"
Rat Catcher,"The Rat Catcher is a common sight throughout the Empire. They can be found in villages, towns, and cities, making a living by disposing of the vermin that infest all dwellings in this unsanitary age. Rat Catchers are often travelling folk, although larger towns and cities have permanent contingents of “vermin soldiers.” Rats are their chief enemy, but they can also dispose of moles, mice, and even fouler pests. City-dwelling Rat Catchers spend a great deal of time in the sewers, wading through rivers of filth in search of their prey. It’s a dirty job but it helps keep the plague away. ","5,10,0,5,10,0,10,0","0,2,0,0,0,0,0,0","Animal Care, Animal Trainer, Concealment, Perception, Search, Set Trap, Silent Move","Resistance to Disease, Resistance to Poison, Specialist Weapon Group (Sling), Tunnel Rat","Grave Robber, Jailer, Runebearer, Tomb Robber","Bone Picker, Cat Burglar, Grave Robber, Jailer, Shieldbreaker, Thie"
Roadwarden,"The Empire consists of pockets of civilisation tenuously connected to each other by roads and rivers. Much of the land is heavily forested, and such terrain is home to bandits, Mutants, Beastmen, and Goblins. Merely travelling from one city to another is an adventure, despite the constant vigilance of the Roadwardens. These lawmen patrol the roads and tracks of the Empire, protecting travellers and their goods. Since their numbers are small, they work with local militia and Soldiers to deal with larger threats. Most of the time though, it is up to small groups of Roadwardens to deal with all but the worst hazards.","10,10,5,0,10,5,5,0","0,2,0,0,0,0,0,0","Animal Care, Common Knowledge (the Empire) or Gossip, Drive, Follow Trail or Secret Signs (Scout), Navigation, Outdoor Survival, Perception, Ride, Search","Quick Draw or Rapid Reload, Specialist Weapons Group (Gunpowder","Coachman, Ferryman, Messenger, Outrider, Watchman","Highwayman, Messenger, Outlaw, Outrider, Scout, Sergeant, Toll Keeper"
Rogue,"If Rogues have a creed, it is this: never do an honest day’s work if you can avoid it. These fast-talking con men use their charm and luck to make their way in the world. Some work as bawds, professional guides to the dens of vice and inequity to be found in any city. Others are professional gamblers or raconteurs. All Rogues favour their wits over their swords, and they always have a ready story on their lips. While Rogues often have one city as home turf, some travel from place to place, profiting from elaborate schemes and then moving on. The most skilled Rogues go undetected. Their lies are so convincing that even those they have swindled never realize it was a con. ","5,5,0,0,10,5,5,10","0,2,0,0,0,0,0,0","Blather, Charm, Evaluate, Gamble or Secret Signs (Thief), Gossip or Haggle, Perception, Performer (Actor or Storyteller), Search or Secret Language (Thieves’ Tongue), Speak Language (Reikspiel)","Flee! or Streetwise, Luck or Sixth Sense, Public Speaking","Agitator, Assassin, Duellist, Entertainer, Envoy, Estalian Diestro, Noble, Seaman, Thief, Valet","Charlatan, Demagogue, Entertainer, Outlaw, Servant, Thief"
Runebearer,"The Undgrin Ankor, a network of elaborate tunnels that once ran the length of the World’s Edge Mountains, connects the Dwarfholds east of the Empire. Communication between holds is carried out by means of Runebearers —specially trained young Dwarfs who risk life and limb to carry messages (written in the runic script of the Dwarfs) from one hold to another. Over recent centuries, as more Dwarfholds have fallen to the Goblinoids and more tunnels have become ruined, the Runebearers’ lot has become increasingly difficult. They are forced to take more circuitous routes, and even these are fraught with danger as the enemies discover the routes. Often, Runebearers must leave the tunnels altogether and cross mountains and valleys on the surface. Runebearers who specialize in long distances are sometimes used to carry messages between the Dwarf communities of the Empire and those of mountains.","10,0,5,5,10,5,5,0","0,2,0,0,1,0,0,0","Dodge Blow, Navigation, Outdoor Survival, Secret Signs (Scout), Perception, Swim","Flee!, Fleet Footed or Sixth Sense, Orientation, Rapid Reload, Very Resilient or Very Strong",Shieldbreaker,"Rat Catcher, Scout, Shieldbreaker, Tomb Robber, Veteran"
Scribe,"Since most citizens of the Empire are illiterate, Scribes are very much in demand. Virtually every government, civil, military, or religious institution requires a large number of Scribes for record keeping. There are also public Scribes, who make a living writing and reading letters for the common folk. Scribes are well educated and many go on to become Scholars or lawyers. A few tire of reading about the adventures of others and resolve to have some of their own. With their extensive knowledge of other languages, they make excellent translators for foreign expeditions. ","0,0,0,0,10,10,10,5","0,2,0,0,0,0,0,0","Academic Knowledge (any one), Common Knowledge (the Empire) or Gossip, Perception, Read/Write, Secret Language (Guild Tongue), Speak Language (Breton), Speak Language (Classical), Speak Language (Reikspiel or Tilean), Trade (Calligrapher",Linguistics,"Apprentice Wizard, Initiate","Agitator, Apprentice Wizard, Initiate, Navigator, Scholar"
Seaman,"Most Imperial seamen come from the province of Nordland, which has a long stretch of coast on the Sea of Claws. The Greatships, Wolfships, and Wargalleys of the Imperial Fleet patrol these waters, protecting the Empire from Norse longships, Bretonnian buccaneers, and the dreaded fleets of Chaos. Hardened Seaman crew these ships, while their compatriots sail merchantmen, pirate vessels, and other privately owned craft. Elven sailors can be found on the Sea of Claws as well, particularly those engaged by their great Merchant Houses. The activity of the region revolves around Marienburg, the greatest port in the Old World. This city and its surrounding area (known as the Wasteland) used to be the Imperial province of Westerland but it bought its independence years ago. While Marienburg itself is neutral territory, the Sea of Claws is the site of daily clashes. On blood-soaked decks, Seamen earn their rum ration and their booty.","10,5,10,0,10,0,0,0","1,2,0,0,0,0,0,0","Common Knowledge (Bretonnia, Norsca, Tilea or the Wasteland), Consume Alcohol or Perception, Dodge Blow, Row, Sail, Scale Sheer Surface, Speak Language (Breton, Norse or Tilean), Swim","Hardy or Street Fighting, Seasoned Traveller, Strike Mighty Blow or Swashbuckler","Boatman, Envoy, Ferryman, Fisherman, Norse Berserker, Smuggler","Marine, Mate, Navigator, Rogue, Smuggler"
Servant,"There are few lower on the social ladder than Servants. While their work is necessary, they are usually despised by their social superiors. For the scullion, the stable boy, and the serving wench, escape from their hard lives often seems impossible. These unfortunates must perform an unending number of menial tasks for their employers, be they Nobles, Guild Masters, or Innkeepers. It is possible for a Servant to work up to a better position, but the path is difficult. No one wants to listen to the lad that was cleaning the privy last week. Thus many Servants leave their masters behind and become adventurers instead. ","5,0,5,0,10,5,10,5","0,2,0,0,0,0,0,0","Animal Care or Trade (Cook), Blather, Dodge Blow, Drive or Search, Evaluate or Haggle, Gossip, Perception, Read/Write or Sleight of Hand","Acute Hearing or Flee!, Etiquette or Hardy, Lightning Reflexes or Very Resilient","Camp Follower, Peasant, Rogue","Agitator, Burgher, Camp Follower, Innkeeper, Messenger, Spy, Thief, Valet"
Shieldbreaker,"Chaos and greenskin incursions have overrun many Dwarfholds in the World’s Edge Mountains over the centuries. To protect their remaining fortress cities, the Dwarfs have trained elite Soldiers who specialize in fighting deep underground. They are the Shieldbreakers, doughty warriors that seek to stem the tide of evil and safeguard their people. While most Shieldbreakers are Dwarfs, members of other races join their ranks from time to time in exchange for Dwarfen gold. Young Dwarfs from the Empire often become Shieldbreakers to prove their mettle and show solidarity with their mountain kin. ","10,0,5,5,10,0,5,0","1,2,0,0,0,0,0,0","Dodge Blow, Navigation, Perception, Scale Sheer Surface, Shadowing"," Acute Hearing or Coolheaded, Orientation, Strike Mighty Blow, Strike to Injure, Strike to Stun","Kislevite Kossar, Mercenary, Miner, Rat Catcher, Runebearer, Smuggler, Tomb Robber"," Pit Fighter, Runebearer, Sergeant, Smuggler, Tomb Robber, Veteran"
Smuggler,"Most of the sea and road trade of the Old World is subject to duties and taxes. Imperial tax collectors, local excisemen, petty lords, and anyone with enough muscle can place a duty on the movement of goods. Legal taxes are bad enough, but many pirates and Outlaw Chiefs also demand a cut to allow safe passage. In large ports like Marienburg, nearly everything moving in or out is taxed in some way. Given this state of affairs, the Smugglers’ trade continues to thrive. While smuggling is, of course, illegal, most folks in the Empire don’t think much of cutting a few corners. In their minds, the taxmen and bureaucrats are the real thieves.","5,5,0,0,10,10,0,10","0,2,0,0,0,0,0,0","Drive, Evaluate, Gossip or Secret Language (Thieves’ Tongue), Haggle, Perception, Row, Search, Silent Move, Speak Language (Breton or Kislevian) or Secret Signs (Thief), Swim",Dealmaker or Streetwise,"Bailiff, Boatman, Bone Picker, Camp Follower, Coachman, Engineer, Ferryman, Innkeeper, Marine, Miner, Seaman, Shieldbreaker","Boatman, Charlatan, Fence, Ferryman, Seaman, Shieldbreaker, Thief"
Soldier,"Every province and city-state in the Empire maintains its own army, trained and equipped at its own expense. Together these regional forces make up the Imperial Army, though they are often supplemented with militia troops and Mercenaries. These Soldiers are full-time, paid professionals, usually drawn from the Peasant or Burgher classes. They man the Empire’s fortresses, patrol the borders, and repel invaders. Most Soldiers of the infantry train with either the halberd or the firearm. Although dominated by the nobility, the Imperial Army also promotes based on ability and it is possible to rise through the ranks to a command position (though the bigotry of the ruling class makes this difficult). Imperial Dwarfs and Halflings are usually formed into their own units. ","10,10,0,0,10,0,5,0","1,2,0,0,0,0,0,0","Animal Care or Heal, Common Knowledge (the Empire) or Perception, Dodge Blow, Drive or Ride, Gamble or Gossip, Intimidate","Disarm or Quick Draw, Sharpshooter or Strike Mighty Blow, Specialist Weapon Group (Gunpowder or Two-handed), Strike to Injure or Rapid Reload, Strike to Stun or Mighty Shot","Flagellant, Hunter, Messenger, Toll Keeper, Watchman","Mercenary, Outrider, Sergeant, Vagabond, Veteran, Watchman"
Squire,"Squires are Knights in training. Often of Noble blood, they assist Knights on and off the field of battle. Though they can appear to be nothing more than glorified Servants, fetching food and wine for their lord or tending to his horses and panoply, the gruelling work is meant to toughen up the Squires and ready them for knighthood. Their lords are also supposed to provide them with martial training, though some are lax in this duty. Favoured Noble sons serve as Squires for a few months at best, while those less fortunate spend years trying to earn their spurs.","10,5,5,5,5,0,0,5","1,2,0,0,0,0,0,0","Academic Knowledge (Genealogy/Heraldry) or Common Knowledge (Bretonnia), Animal Care, Animal Training, Charm or Gossip, Dodge Blow, Ride, Speak Language (Breton or Reikspiel)","Etiquette, Specialist Weapon Group (Cavalry), Strike Mighty Blow","Herald, Noble, Valet","Knight, Noble, Outlaw, Sergeant, Veteran"
Student,"The great cities of the Empire have many universities. Most, like the Imperial School of Engineers in Altdorf, are funded by the state. The first college in the Empire was established in Nuln and that city is still famous for its learning institutions (and, ironically, its Imperial Gunnery School). Students across the Empire can choose from a wide variety of courses, from history to anatomy to science. Of course, many study nothing more than the bottom of a bottle and wash out of school in less than a year. Elven Students don’t go to Imperial universities, but learn from their own loremasters instead. Halfling students are admitted to Universities on sufferance, due to an obscure piece of Imperial Ordinance demanded by the Elder of the Moot","0,0,0,0,10,10,5,10","0,2,0,0,0,0,0,0","Academic Knowledge (any one), Academic Knowledge (any one) or Gossip, Charm or Consume Alcohol, Heal or Search, Perception, Read/ Write, Speak Language (Classical), Speak Language (Reikspiel)","Etiquette or Linguistics, Savvy or Suave, Seasoned Traveller or Super Numerate","Envoy, Grave Robber, Minstrel, Noble, Vale","Agitator, Apprentice Wizard, Barber- Surgeon, Engineer, Envoy, Initiate, Physician, Scholar"
Thief,"The Empire is home to many honest, hard working citizens and Thieves are dedicated to taking as much of their money as possible. They tend to be jacks- of-all-trades, willing and able to take advantage of any moneymaking opportunity that comes along. Specialist Thieves include blackmailers, embezzlers, kidnappers, pickpockets, and cattle thieves. Towns and cities of any size have Thieves’ Guilds, which control and organize criminal activity. A few towns have more than one guild, which leads to vicious fighting until one guild eliminates its rival. The most successful Thieves’ Guilds own so many legitimate businesses that over time they turn into Merchant Guilds. It is a rare guild that leaves its larcenous ways behind, however. ","5,5,0,0,15,5,0,10","0,2,0,0,0,0,0,0","Charm or Scale Sheer Surface, Concealment, Evaluate or Disguise, Gamble or Pick Lock, Perception, Read/Write or Sleight of Hand, Search, Secret Language (Thieves’ Tongue) or Secret Signs (Thief), Silent Move","Alley Cat or Streetwise, Super Numerate or Trapfinder","Entertainer, Grave Robber, Interrogator, Militiaman, Outlaw, Protagonist, Rat Catcher, Rogue, Servant, Smuggler, Toll Keeper, Tomb Robber, Vagabond","Cat Burglar, Charlatan, Entertainer, Fence, Rogue, Tomb Robber"
Thug,"In the criminal underworld, strength and viciousness are highly prized virtues and no profession illustrates this more clearly than the Thug. When protection money is owed, when Agitators threaten to expose corruption, or when rivals overstep themselves, the Thug is there. A few thwacks with a club is usually enough to send the right message, but harder cases get the full treatment. It’s wisest to flee in such circumstances, but the graveyards are full of those that thought quick wits would be enough to save them. Every Thieves’ Guild and criminal organisation has Thugs in its ranks.","10,0,5,5,0,0,5,5","1,2,0,0,0,0,0,0","Consume Alcohol, Dodge Blow, Gamble, Intimidate, Secret Language (Thieves’ Tongue)","Coolheaded or Lightning Reflexes, Disarm, Resistance to Poison or Quick Draw, Strike to Injure or Wrestling, Strike to Stun","Marine, Protagonist","Bodyguard, Interrogator, Mercenary, Pit Fighter, Racketeer"
Toll Keeper,"Collecting money for the government is a thankless job. Doing so in the midst of the wilderness is practically a death sentence. Toll Keepers live in isolated roadside houses, collecting money from passing travellers. The monies collected go towards the upkeep of the roads, but that doesn’t stop travellers from berating, beating, and even killing Toll Keepers trying to do their jobs. If that weren’t bad enough, tollhouses are prime targets for bandits. A Toll Keeper’s life is so fraught with peril and few do it for very long, despite the high wages the position pays. ","10,5,5,10,5,0,5,0","0,2,0,0,0,0,0,0","Dodge Blow, Evaluate, Gossip or Haggle, Perception, Read/Write, Search, Speak Language (Breton, Kislevian, or Tilean)",Lightning Reflexes or Marksman,"Bailiff, Coachman, Roadwarden","Ferryman, Fieldwarden, Highwayman, Outlaw, Soldier, Politician, Thie"
Tomb Robber,"Tomb Robbers differ from Grave Robbers in that they are interested in the valuables to be found in burial sites rather than the bodies themselves. Although very few graves in the Old World include valuable goods these days, there are many ancient burial sites that contain priceless treasures. Tomb Robbers are experts in locating such sites and plundering their riches. Secret tombs are usually in dangerous and inaccessible areas. Those within the Empire’s borders are revered and protected by local inhabitants, so accessing these sites can be just as dangerous. Clever traps and deceptions protect the richest tombs and skilled Tomb Robbers must learn to disarm or bypass them. Few survive long enough to raid more than one tomb. ","10,0,0,0,10,10,10,5","0,2,0,0,0,0,0,0","Common Knowledge (the Empire) or Secret Signs (Thief), Concealment or Outdoor Survival, Evaluate, Perception, Pick Lock or Silent Move, Read/Write, Scale Sheer Surface, Search, Speak Language (Classical, Khazalid or Eltharin)","Luck or Sixth Sense, Trapfinder or Tunnel Rat","Runebearer, Shieldbreaker, Thief","Rat Catcher, Shieldbreaker, Thief, Vampire Hunter"
Tradesman,"Tradesmen are skilled labourers and craftsmen. Although they tend to cluster together in cities, they can also be found in villages across the Empire. They provide many of the goods used by Merchants when trading abroad, and are valued as an important part of the Empire’s economy. Tradesmen include apothecaries, armourers, bowyers, brewers, calligraphers, carpenters, cartographers, gem cutters, gunsmiths, herbalists, peddlers, shipwrights, smiths, stoneworkers, tailors, and weaponsmiths. Each trade has its own guild, though not all guilds have local chapters.","0,0,5,5,10,5,10,0","0,2,0,0,0,0,0,0","Animal Care or Gossip, Drive, Haggle, Evaluate, Perception, Read/Write, Secret Language (Guild Tongue), Trade (any two)",Dealmaker or Savvy,"Barber-Surgeon, Burgher, Camp Follower, Peasant, Watchman","Artisan, Engineer, Envoy, Merchant, Militiaman, Zealot"
Troll Slayer,"Dwarfs who have been disgraced, crossed in love, or otherwise humiliated abandon traditional society and seek the sweet release of death. They hunt the most dangerous of monsters in the hopes of finding a glorious end. Most of them die fairly quickly, but those few who survive become members of the strange cult of Troll Slayers. They exist only to die, and by doing so redeem whatever disgrace they suffered in the past. They seek the fiercest foes, and Trolls are considered ideal because the Dwarfs’ deaths are almost a certainty. Troll Slayers are instantly recognizable, with their spiky orange hair, outlandish tattoos, and gaudy jewellery. They spend a great deal of time boasting of their exploits and show off their many scars, and often indulge in bouts of overeating, drunkenness, and sleep deprivation. ","10,0,5,5,5,0,10,0","1,3,0,0,0,0,0,0","Consume Alcohol, Dodge Blow, Intimidate","Disarm or Quick Draw, Hardy, Lightning Reflexes or Very Resilient, Specialist Weapon Group (Two-handed), Street Fighter, Strike Mighty Blow",Pit Fighte,Giant Slayer
Vagabond,"Vagabonds love life on the road. The traditional Peasant or Burgher existence seems like prison to them. Who wants to wake up in the same village or city every day, doing the same thing as yesterday? Vagabonds are footloose wanderers who look on each day as a new adventure. They may take on odd jobs here and there to earn some brass, but they never stay in one place for long. The road beckons, with the promise of something better always over the next hill. While they do love to travel, they are not ignorant of the dangers of the road. Vagabonds can thus often be found in travelling companies, formed for mutual protection. The law has little love for these groups and in many places Vagabonds are viewed as common criminals. ","5,10,0,0,10,5,0,5","0,2,0,0,0,0,0,0","Common Knowledge (Bretonnia, Estalia, Kislev, or Tilea), Gossip or Secret Language (Ranger Tongue or Thieves’ Tongue), Haggle or Swim, Heal or Perception, Navigation, Outdoor Survival, Performer (Dancer, Singer, or Storyteller) or Secret Signs (Ranger or Thief), Silent Move","Fleet Footed or Rover, Marksman or Orientation, Seasoned Travelle","arber-Surgeon, Camp Follower, Cat Burglar, Charcoal-Burner, Entertainer, Envoy, Fieldwarden, Hedge Wizard, Kithband Warrior, Outlaw, Soldier, Woodsman","Bone Picker, Entertainer, Friar, Scout, Thief, Woodsman"
Valet,"A Valet is a personal manservant for a Nobleman, high-ranking military commander, or wealthy Burgher. He is responsible for the comfort and appearance of his charge, including grooming, wardrobe, and presentation. A Valet is ready with a hat and cloak when it’s raining, a walking stick for outdoor jaunts, and a dress coat for formal occasions. A well- trained Valet is indispensable for the style-conscious Noble. Though they enjoy a lifestyle most Servants would kill for, Valets often resent the vacuous Nobles they are forced to attend. Women who perform these services for Noblewomen are known as handmaidens. ","0,0,0,0,10,10,5,10","0,2,0,0,0,0,0,0","Academic Knowledge (Genealogy/Heraldry), Blather, Evaluate, Gossip or Speak Language (Breton or Reikspiel), Haggle, Perception, Read/Write, Search","Coolheaded or Suave, Dealmaker or Seasoned Traveller, Etiquette","Burgher, Servan","Herald, Rogue, Squire, Steward, Student"
Watchman,"Originally, cities and towns were responsible for recruiting and maintaining their own watch organisations. Corruption was so widespread that the Emperor gave the job to the army instead. Now, certain regiments on garrison duty must serve as the town watch. This has cut down dramatically on corruption, though the army itself is not immune. Watchmen are responsible for maintaining law and order and are empowered to make arrests. They also double as fire fighters in smaller towns. For some Soldiers, watch duty is a temporary assignment. For others, it becomes a lifelong career.","10,5,5,0,5,10,0,5","0,2,0,0,0,0,0,0","Academic Knowledge (Law), Dodge Blow, Follow Trail, Gossip, Intimidate, Perception, Search","Coolheaded or Savvy, Disarm or Street Fighting, Strike Mighty Blow, Strike to Stun","Jailer, Soldier","Mercenary, Racketeer, Roadwarden, Sergeant, Soldier, Tradesman"
Woodsman,"Woodsmen live among the mighty forests of the Empire, looking after trees they will fell for timber. The more fortunate Woodsmen work for Noble families on large estates. The braver souls work on the edges of civilisation, helping to expand the settled lands. These Woodsmen must deal with all the dangers of the forest, from pitfalls and bandits to wild animals and Beastmen. They always keep their axes handy and not just for chopping wood. Woodsmen have been known to clash with Elves, since the Elves do not take kindly to the clearing of their precious forests. ","10,0,10,0,5,0,10,0","0,3,0,0,0,0,0,0","Concealment, Follow Trail or Set Trap, Perception, Scale Sheer Surface, Secret Language (Ranger Tongue), Secret Signs (Ranger), Silent Move","Fleet Footed or Very Resilient, Rover, Specialist Weapon Group (Two-handed","Charcoal-Burner, Vagabond","Hunter, Militiaman, Outlaw, Scout, Vagabond"
Zealot,"Zealots have lost it all. Maybe their families were murdered by Beastmen or their villages sacked by Orcs. Or conniving Merchants destroyed their businesses or powerful Nobles carried off their daughters. Whatever the case, nothing was left for these men and women but religion. They found solace in the angry sermons of the warrior Priests of Sigmar or Ulric. Now they wander the Empire in tattered clothes, looking to smite the minions of evil and Chaos. They want redemption through blood—be it their own or that of their enemies. They may not have the training of Soldiers but they do have the fire of faith and that is a strong weapon indeed. ","10,0,5,10,0,0,10,5","0,2,0,0,0,0,0,0","Academic Knowledge (Theology), Charm, Common Knowledge (the Empire), Intimidate, Read/Write","Coolheaded or Very Strong, Hardy or Suave, Public Speaking, Specialist Weapon Group (Flail)","Agitator, Initiate, Judicial Champion, Peasant, Tradesman","Agitator, Initiate, Flagellant, Friar, Outlaw"
